survey,load_cmd,cy_data,wt,source,year,notes,gesis_id,filepath
eb381,"eb381 <- read_dta(""gesis_files/ZA2295/ZA2295_v1-0-1.dta"")","data_frame(v5 = 1:13,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Germany""), y_dcpo=1992)","wt <- t_data$v6; wt[grep(""DE\\-"", t_data$isocntry)] <- t_data$v11[grep(""DE\\-"", t_data$isocntry)]",GESIS: ZA2295,1992,excluding Norway,ZA2295,~/Documents/Projects/Data/gesis_files/eb_files/ZA2295/
eb39,"eb39 <- read_dta(""gesis_files/ZA2346/ZA2346_v1-1-0.dta"")","data_frame(v5 = 1:15,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Germany"", ""Norway"", ""Finland""), y_dcpo=1993)","wt <- t_data$v6; wt[grep(""DE\\-"", t_data$isocntry)] <- t_data$v11[grep(""DE\\-"", t_data$isocntry)]",GESIS: ZA2346,1993,NA,ZA2346,~/Documents/Projects/Data/gesis_files/eb_files/ZA2346/
eb391,"eb391 <- read_dta(""gesis_files/ZA2347/ZA2347_v1-1-0.dta"")","data_frame(v6 = 1:14,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Germany"", ""Norway""), y_dcpo=1993)","wt <- t_data$v7; wt[grep(""DE\\-"", t_data$isocntry)] <- t_data$v13[grep(""DE\\-"", t_data$isocntry)]",GESIS: ZA2347,1993,excluding Finland,ZA2347,~/Documents/Projects/Data/gesis_files/eb_files/ZA2347/
eb39A,"eb39A <- read_dta(""gesis_files/ZA2348/ZA2348_v1-0-1.dta"")","data_frame(v6 = 1:13,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Germany""), y_dcpo=1993)","wtA <- t_dataA$v7; wt[grep(""DE\\-"", t_dataA$isocntry)] <- t_dataA$v12[grep(""DE\\-"", t_dataA$isocntry)]",GESIS: ZA2348,1993,excluding Norway and Finland,ZA2348,~/Documents/Projects/Data/gesis_files/eb_files/ZA2348/
eb40,"eb40 <- read_dta(""gesis_files/ZA2459/ZA2459_v1-1-0.dta"")","data_frame(v5 = 1:15,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Germany"", ""Norway"", ""Finland""), y_dcpo=1993)","wt <- t_data$v6; wt[grep(""DE\\-"", t_data$isocntry)] <- t_data$v11[grep(""DE\\-"", t_data$isocntry)]",GESIS: ZA2459,1993,NA,ZA2459,~/Documents/Projects/Data/gesis_files/eb_files/ZA2459/
eb41,"eb41 <- read_dta(""gesis_files/ZA2490/ZA2490_v1-1-0.dta"")","data_frame(v5 = 1:15,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Germany"", ""Norway"", ""Finland""), y_dcpo=1994)","wt <- t_data$v6; wt[grep(""DE\\-"", t_data$isocntry)] <- t_data$v11[grep(""DE\\-"", t_data$isocntry)]",GESIS: ZA2490,1994,Norway and Finland are weighted by 0,ZA2490,~/Documents/Projects/Data/gesis_files/eb_files/ZA2490/
eb411,"eb411 <- read_dta(""gesis_files/ZA2491/ZA2491_v1-1-0.dta"")","data_frame(v5 = 1:13,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Germany""), y_dcpo=1994)","wt <- t_data$v6; wt[grep(""DE\\-"", t_data$isocntry)] <- t_data$v11[grep(""DE\\-"", t_data$isocntry)]",GESIS: ZA2491,1994,excluding Norway and Finland,ZA2491,~/Documents/Projects/Data/gesis_files/eb_files/ZA2491/
eb42,"eb42 <- read_dta(""gesis_files/ZA2563/ZA2563_v1-0-1.dta"")","data_frame(v5 = 1:17,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Germany"", ""Norway"", ""Finland"", ""Sweden"", ""Austria""), y_dcpo=1994)","wt <- t_data$v6; wt[grep(""DE\\-"", t_data$isocntry)] <- t_data$v11[grep(""DE\\-"", t_data$isocntry)]",GESIS: ZA2563,1994,NA,ZA2563,~/Documents/Projects/Data/gesis_files/eb_files/ZA2563/
eb43,"eb43 <- read_dta(""gesis_files/ZA2636/ZA2636_v1-0-1.dta"")","data_frame(v5 = 1:17,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Germany"", ""Norway"", ""Finland"", ""Sweden"", ""Austria""), y_dcpo=1995)","wt <- t_data$v6; wt[grep(""DE\\-"", t_data$isocntry)] <- t_data$v11[grep(""DE\\-"", t_data$isocntry)]",GESIS: ZA2636,1995,excluding Norway,ZA2636,~/Documents/Projects/Data/gesis_files/eb_files/ZA2636/
eb431,"eb431 <- read_dta(""gesis_files/ZA2637/ZA2637_v1-0-1.dta"")","data_frame(v5 = 1:17,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Germany"", ""Norway"", ""Finland"", ""Sweden"", ""Austria""), y_dcpo=1995)","wt <- t_data$v6; wt[grep(""DE\\-"", t_data$isocntry)] <- t_data$v11[grep(""DE\\-"", t_data$isocntry)]",GESIS: ZA2637,1995,NA,ZA2637,~/Documents/Projects/Data/gesis_files/eb_files/ZA2637/
eb431bis,"eb431bis <- read_dta(""gesis_files/ZA2639/ZA2639_v1-1-1.dta"")","data_frame(v5 = 1:17,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Germany"", ""Norway"", ""Finland"", ""Sweden"", ""Austria""), y_dcpo=1995)","wtbis <- t_databis$v6; wt[grep(""DE\\-"", t_databis$isocntry)] <- t_databis$v11[grep(""DE\\-"", t_databis$isocntry)]",GESIS: ZA2639,1995,excluding Norway,ZA2639,~/Documents/Projects/Data/gesis_files/eb_files/ZA2639/
eb44,"eb44 <- read_dta(""gesis_files/ZA2689/ZA2689_v1-0-1.dta"")","data_frame(v5 = 1:17,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Germany"", ""Norway"", ""Finland"", ""Sweden"", ""Austria""), y_dcpo=1995)","wt <- t_data$v6; wt[grep(""DE\\-"", t_data$isocntry)] <- t_data$v11[grep(""DE\\-"", t_data$isocntry)]",GESIS: ZA2689,1995,excluding Norway,ZA2689,~/Documents/Projects/Data/gesis_files/eb_files/ZA2689/
eb441,"eb441 <- read_dta(""gesis_files/ZA2690/ZA2690_v1-0-1.dta"")","data_frame(v5 = 1:17,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Germany"", ""Norway"", ""Finland"", ""Sweden"", ""Austria""), y_dcpo=1995)","wt <- t_data$v6; wt[grep(""DE\\-"", t_data$isocntry)] <- t_data$v11[grep(""DE\\-"", t_data$isocntry)]",GESIS: ZA2690,1995,NA,ZA2690,~/Documents/Projects/Data/gesis_files/eb_files/ZA2690/
eb442,"eb442 <- read_dta(""gesis_files/ZA2789/ZA2789_v1-0-1.dta"")","data_frame(v9 = 1:15,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Finland"", ""Sweden"", ""Austria""), y_dcpo=1996)",wt <- t_data$v10,GESIS: ZA2789,1996,excluding Northern Ireland and Norway; thus I use NATION III(United Germany) instead of NATION II(Separate Germany),ZA2789,~/Documents/Projects/Data/gesis_files/eb_files/ZA2789/
eb442bis,"eb442bis <- read_dta(""gesis_files/ZA2828/ZA2828_v1-0-1.dta"")","data_frame(v6 = 1:16,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Germany"", ""Finland"", ""Sweden"", ""Austria""), y_dcpo=1996)","wtbis <- t_databis$v7; wt[grep(""DE\\-"", t_databis$isocntry)] <- t_databis$v12[grep(""DE\\-"", t_databis$isocntry)]",GESIS: ZA2828,1996,excluding Norway,ZA2828,~/Documents/Projects/Data/gesis_files/eb_files/ZA2828/
eb443,"eb443 <- read_dta(""gesis_files/ZA2829/ZA2829_v1-0-1.dta"")","data_frame(v6 = 1:16,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Germany"", ""Finland"", ""Sweden"", ""Austria""), y_dcpo=1996)","wt <- t_data$v7; wt[grep(""DE\\-"", t_data$isocntry)] <- t_data$v12[grep(""DE\\-"", t_data$isocntry)]",GESIS: ZA2829,1996,excluding Norway,ZA2829,~/Documents/Projects/Data/gesis_files/eb_files/ZA2829/
eb443OVR,"eb443OVR <- read_dta(""gesis_files/ZA2830/ZA2830_v1-0-1.dta"")","data_frame(v6 = 1:16,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Germany"", ""Finland"", ""Sweden"", ""Austria""), y_dcpo=1996)","wtOVR <- t_dataOVR$v7; wt[grep(""DE\\-"", t_dataOVR$isocntry)] <- t_dataOVR$v12[grep(""DE\\-"", t_dataOVR$isocntry)]",GESIS: ZA2830,1996,excluding Norway,ZA2830,~/Documents/Projects/Data/gesis_files/eb_files/ZA2830/
eb451,"eb451 <- read_dta(""gesis_files/ZA2831/ZA2831_v1-0-1.dta"")","data_frame(v6 = 1:17,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Germany"", ""Norway"", ""Finland"", ""Sweden"", ""Austria""), y_dcpo=1996)","wt <- t_data$v7; wt[grep(""DE\\-"", t_data$isocntry)] <- t_data$v12[grep(""DE\\-"", t_data$isocntry)]",GESIS: ZA2831,1996,excluding Norway,ZA2831,~/Documents/Projects/Data/gesis_files/eb_files/ZA2831/
eb46,"eb46 <- read_dta(""gesis_files/ZA2898/ZA2898_v1-0-1.dta"")","data_frame(v6 = 1:17,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Germany"", ""Norway"", ""Finland"", ""Sweden"", ""Austria""), y_dcpo=1996)","wt <- t_data$v7; wt[grep(""DE\\-"", t_data$isocntry)] <- t_data$v12[grep(""DE\\-"", t_data$isocntry)]",GESIS: ZA2898,1996,excluding Norway,ZA2898,~/Documents/Projects/Data/gesis_files/eb_files/ZA2898/
eb461,"eb461 <- read_dta(""gesis_files/ZA2899/ZA2899_v1-1-0.dta"")","data_frame(v6 = 1:17,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Germany"", ""Norway"", ""Finland"", ""Sweden"", ""Austria""), y_dcpo=1996)","wt <- t_data$v7; wt[grep(""DE\\-"", t_data$isocntry)] <- t_data$v12[grep(""DE\\-"", t_data$isocntry)]",GESIS: ZA2899,1996,NA,ZA2899,~/Documents/Projects/Data/gesis_files/eb_files/ZA2899/
eb47,"eb47 <- read_dta(""gesis_files/ZA2935/ZA2935_v1-1-0.dta"")","data_frame(v13 = 1:16,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Norway"", ""Finland"", ""Sweden"", ""Austria""), y_dcpo=1997)",wt <- t_data$v14,GESIS: ZA2935,1997,(1) excluding Norway; (2) a new weight variable for both United Kingdom and Germany,ZA2935,~/Documents/Projects/Data/gesis_files/eb_files/ZA2935/
eb471,"eb471 <- read_dta(""gesis_files/ZA2936/ZA2936_v1-0-1.dta"")","data_frame(v13 = 1:16,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Norway"", ""Finland"", ""Sweden"", ""Austria""), y_dcpo=1997)",wt <- t_data$v14,GESIS: ZA2936,1997,excluding Norway,ZA2936,~/Documents/Projects/Data/gesis_files/eb_files/ZA2936/
eb472,"eb472 <- read_dta(""gesis_files/ZA2937/ZA2937_v1-0-1.dta"")","data_frame(v13 = 1:16,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Norway"", ""Finland"", ""Sweden"", ""Austria""), y_dcpo=1997)",wt <- t_data$v14,GESIS: ZA2937,1997,excluding Norway,ZA2937,~/Documents/Projects/Data/gesis_files/eb_files/ZA2937/
eb472OVR,"eb472OVR <- read_dta(""gesis_files/ZA2938/ZA2938_v1-0-1.dta"")","data_frame(v13 = 1:16,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Norway"", ""Finland"", ""Sweden"", ""Austria""), y_dcpo=1997)",wtOVR <- t_dataOVR$v14,GESIS: ZA2938,1997,excluding Norway,ZA2938,~/Documents/Projects/Data/gesis_files/eb_files/ZA2938/
eb48,"eb48 <- read_dta(""gesis_files/ZA2959/ZA2959_v1-0-1.dta"")","data_frame(v13 = 1:16,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Norway"", ""Finland"", ""Sweden"", ""Austria""), y_dcpo=1997)",wt <- t_data$v14,GESIS: ZA2959,1997,excluding Norway,ZA2959,~/Documents/Projects/Data/gesis_files/eb_files/ZA2959/
eb49,"eb49 <- read_dta(""gesis_files/ZA3052/ZA3052_v1-1-0.dta"")","data_frame(v13 = 1:16,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Norway"", ""Finland"", ""Sweden"", ""Austria""), y_dcpo=1998)",wt <- t_data$v14,GESIS: ZA3052,1998,excluding Norway,ZA3052,~/Documents/Projects/Data/gesis_files/eb_files/ZA3052/
eb50,"eb50 <- read_dta(""gesis_files/ZA3085/ZA3085_v1-1-0.dta"")","data_frame(v13 = 1:16,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Norway"", ""Finland"", ""Sweden"", ""Austria""), y_dcpo=1998)",wt <- t_data$v14,GESIS: ZA3085,1998,excluding Norway,ZA3085,~/Documents/Projects/Data/gesis_files/eb_files/ZA3085/
eb501,"eb501 <- read_dta(""gesis_files/ZA3086/ZA3086_v1-0-1.dta"")","data_frame(v13 = 1:16,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Norway"", ""Finland"", ""Sweden"", ""Austria""), y_dcpo=1998)",wt <- t_data$v14,GESIS: ZA3086,1998,excluding Norway,ZA3086,~/Documents/Projects/Data/gesis_files/eb_files/ZA3086/
eb51,"eb51 <- read_dta(""gesis_files/ZA3171/ZA3171_v1-0-1.dta"")","data_frame(v13 = 1:16,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Norway"", ""Finland"", ""Sweden"", ""Austria""), y_dcpo=1998)",wt <- t_data$v14,GESIS: ZA3171,1998,excluding Norway,ZA3171,~/Documents/Projects/Data/gesis_files/eb_files/ZA3171/
eb511,"eb511 <- read_dta(""gesis_files/ZA3172/ZA3172_v1-0-1.dta"")","data_frame(v13 = 1:16,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Norway"", ""Finland"", ""Sweden"", ""Austria""), y_dcpo=1999)",wt <- t_data$v14,GESIS: ZA3172,1999,excluding Norway,ZA3172,~/Documents/Projects/Data/gesis_files/eb_files/ZA3172/
eb52,"eb52 <- read_dta(""gesis_files/ZA3204/ZA3204_v1-0-1.dta"")","data_frame(v13 = 1:16,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Norway"", ""Finland"", ""Sweden"", ""Austria""), y_dcpo=1999)",wt <- t_data$v14,GESIS: ZA3204,1999,excluding Norway,ZA3204,~/Documents/Projects/Data/gesis_files/eb_files/ZA3204/
eb521,"eb521 <- read_dta(""gesis_files/ZA3205/ZA3205_v2-0-0.dta"")","data_frame(v13 = 1:16,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Norway"", ""Finland"", ""Sweden"", ""Austria""), y_dcpo=1999)",wt <- t_data$v14,GESIS: ZA3205,1999,NA,ZA3205,~/Documents/Projects/Data/gesis_files/eb_files/ZA3205/
eb53,"eb53 <- read_dta(""gesis_files/ZA3296/ZA3296_v1-0-1.dta"")","data_frame(v13 = 1:16,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Norway"", ""Finland"", ""Sweden"", ""Austria""), y_dcpo=2000)",wt <- t_data$v14,GESIS: ZA3296,2000,excluding Norway,ZA3296,~/Documents/Projects/Data/gesis_files/eb_files/ZA3296/
eb54,"eb54 <- read_dta(""gesis_files/ZA3386/ZA3386_v1-0-1.dta"")","data_frame(v13 = 1:16,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Norway"", ""Finland"", ""Sweden"", ""Austria""), y_dcpo=2000)",wt <- t_data$v14,GESIS: ZA3386,2000,excluding Norway,ZA3386,~/Documents/Projects/Data/gesis_files/eb_files/ZA3386/
eb541,"eb541 <- read_dta(""gesis_files/ZA3387/ZA3387_v1-1-0.dta"")","data_frame(v13 = 1:16,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Norway"", ""Finland"", ""Sweden"", ""Austria""), y_dcpo=2000)",wt <- t_data$v14,GESIS: ZA3387,2000,NA,ZA3387,~/Documents/Projects/Data/gesis_files/eb_files/ZA3387/
eb542,"eb542 <- read_dta(""gesis_files/ZA3388/ZA3388_v1-1-0.dta"")","data_frame(v12 = 1:16,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Norway"", ""Finland"", ""Sweden"", ""Austria""), y_dcpo=2001)",wt <- t_data$v13,GESIS: ZA3388,2001,NA,ZA3388,~/Documents/Projects/Data/gesis_files/eb_files/ZA3388/
eb54LAN,"eb54LAN <- read_dta(""gesis_files/ZA3388/ZA3388_v1-1-0.dta"")","data_frame(v13 = 1:16,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Norway"", ""Finland"", ""Sweden"", ""Austria""), y_dcpo=2001)",wtLAN <- t_dataLAN$v14,GESIS: ZA3389,2001,excluding Norway,ZA3388,~/Documents/Projects/Data/gesis_files/eb_files/ZA3388/
eb55,"eb55 <- read_dta(""gesis_files/ZA3506/ZA3506_v1-0-1.dta"")","data_frame(v12 = 1:16,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Norway"", ""Finland"", ""Sweden"", ""Austria""), y_dcpo=2001)",wt <- t_data$v13,GESIS: ZA3506,2001,excluding Norway,ZA3506,~/Documents/Projects/Data/gesis_files/eb_files/ZA3506/
eb551,"eb551 <- read_dta(""gesis_files/ZA3507/ZA3507_v1-0-1.dta"")","data_frame(v12 = 1:16,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Norway"", ""Finland"", ""Sweden"", ""Austria""), y_dcpo=2001)",wt <- t_data$v13,GESIS: ZA3507,2001,excluding Norway,ZA3507,~/Documents/Projects/Data/gesis_files/eb_files/ZA3507/
eb551OVR,"eb551OVR <- read_dta(""gesis_files/ZA3508/ZA3508_v1-0-1.dta"")","data_frame(v12 = 1:16,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Norway"", ""Finland"", ""Sweden"", ""Austria""), y_dcpo=2001)",wtOVR <- t_dataOVR$v13,GESIS: ZA3508,2001,excluding Norway,ZA3508,~/Documents/Projects/Data/gesis_files/eb_files/ZA3508/
eb552,"eb552 <- read_dta(""gesis_files/ZA3509/ZA3509_v1-0-1.dta"")","data_frame(v12 = 1:16,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Norway"", ""Finland"", ""Sweden"", ""Austria""), y_dcpo=2001)",wt <- t_data$v13,GESIS: ZA3509,2001,excluding Norway,ZA3509,~/Documents/Projects/Data/gesis_files/eb_files/ZA3509/
eb56,"eb56 <- read_dta(""gesis_files/ZA3625/ZA3625_v1-0-1.dta"")","data_frame(v12 = 1:16,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Norway"", ""Finland"", ""Sweden"", ""Austria""), y_dcpo=2001)",wt <- t_data$v13,GESIS: ZA3625,2001,excluding Norway,ZA3625,~/Documents/Projects/Data/gesis_files/eb_files/ZA3625/
eb561,"eb561 <- read_dta(""gesis_files/ZA3626/ZA3626_v2-0-0.dta"")","data_frame(v12 = 1:16,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Norway"", ""Finland"", ""Sweden"", ""Austria""), y_dcpo=2001)",wt <- t_data$v13,GESIS: ZA3626,2001,NA,ZA3626,~/Documents/Projects/Data/gesis_files/eb_files/ZA3626/
eb562,"eb562 <- read_dta(""gesis_files/ZA3627/ZA3627_v1-0-1.dta"")","data_frame(v12 = 1:16,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Norway"", ""Finland"", ""Sweden"", ""Austria""), y_dcpo=2001)",wt <- t_data$v13,GESIS: ZA3627,2001,excluding Norway,ZA3627,~/Documents/Projects/Data/gesis_files/eb_files/ZA3627/
eb563,"eb563 <- read_dta(""gesis_files/ZA3635/ZA3635_v1-0-1.dta"")","data_frame(v12 = 1:16,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Norway"", ""Finland"", ""Sweden"", ""Austria""), y_dcpo=2002)",wt <- t_data$v13,GESIS: ZA3635,2002,excluding Norway,ZA3635,~/Documents/Projects/Data/gesis_files/eb_files/ZA3635/
eb57,"eb57 <- read_dta(""gesis_files/ZA3638/ZA3638_v1-0-1.dta"")","data_frame(v12 = 1:16,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Norway"", ""Finland"", ""Sweden"", ""Austria""), y_dcpo=2002)",wt <- t_data$v13,GESIS: ZA3638,2002,excluding Norway,ZA3638,~/Documents/Projects/Data/gesis_files/eb_files/ZA3638/
eb571,"eb571 <- read_dta(""gesis_files/ZA3639/ZA3639_v1-0-1.dta"")","data_frame(v12 = 1:16,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Norway"", ""Finland"", ""Sweden"", ""Austria""), y_dcpo=2002)",wt <- t_data$v13,GESIS: ZA3639,2002,excluding Norway,ZA3639,~/Documents/Projects/Data/gesis_files/eb_files/ZA3639/
